AEROPORTO DE ORIGEM (SIGLA);AEROPORTO DE ORIGEM (NOME);AEROPORTO DE ORIGEM (UF);AEROPORTO DE ORIGEM (REGIÃO);AEROPORTO DE ORIGEM (PAÍS);AEROPORTO DE ORIGEM (CONTINENTE);LATITUDE;LONGITUDE
KAUS;"AUSTIN; TEXAS";;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE; 30.194499969482422;-97.6698989868164
KDFW;"DALLAS & FORT WORTH; TEXAS";;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE; 32.896801;-97.038002
KJFK;"NEW YORK; NEW YORK";;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE; 40.639801;-73.7789
KMCO;"ORLANDO; FLORIDA";;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE; 28.429399490356445;-81.30899810791016
KMIA;"MIAMI; FLORIDA";;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE; 25.79319953918457;-80.29060363769531
SBBR;BRASÍLIA;DF;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL; -15.869167;-47.920834
SBCF;CONFINS;MG;SUDESTE;BRASIL;AMÉRICA DO SUL; -19.62444305419922;-43.97194290161133
SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL; -22.8099994659;-43.2505569458
SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL; -23.435556411743164;-46.47305679321289
SBRF;RECIFE;PE;NORDESTE;BRASIL;AMÉRICA DO SUL; -8.126489639282227;-34.92359924316406
SBSV;SALVADOR;BA;NORDESTE;BRASIL;AMÉRICA DO SUL; -12.9086112976;-38.3224983215
TJSJ;SAN JUAN;;;PORTO RICO;AMÉRICA CENTRAL; 18.4393997192;-66.0018005371
KPBI;"WEST PALM BEACH; FLORIDA";;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE; 26.68320083618164;-80.09559631347656
SVMI;"MAIQUETÍA; VARGAS (NEAR CARACAS)";;;VENEZUELA;AMÉRICA DO SUL; 10.601194;-66.991222
MDSD;SAO DOMINGO/DE LAS AMÉRICAS;;;REPÚBLICA DOMINICANA;AMÉRICA CENTRAL; 18.42970085144;-69.668899536133
KIAH;"HOUSTON; TEXAS";;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE; 29.984399795532227;-95.34140014648438
MYNN;NASSAU/INTL NEW PROVIDENCE;;;BAHAMAS;AMÉRICA CENTRAL; 25.039;-77.466202
KEWR;"NEWARK & ELIZABETH; NEW JERSEY";;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE; 40.692501068115234;-74.168701171875
KDAL;"DALLAS; TEXAS; ESTADOS UNIDOS DA AMÉRICA"; ; ;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE; 32.847099;-96.851799
KFLL;"FORT LAUDERDALE/HOLLYWOOD; FLORIDA";;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE; 26.072599;-80.152702
KBOS;"BOSTON; MASSACHUSETTS";;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE; 42.36429977;-71.00520325
KPHL;"PHILADELPHIA; PENNSYLVANIA";;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE; 39.87189865112305;-75.24109649658203
SBKP;CAMPINAS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL; -23.0074005127;-47.1344985962
SBRG;RIO GRANDE;RS;SUL;BRASIL;AMÉRICA DO SUL; -32.082562;-52.162776
SBLP;BOM JESUS DA LAPA;BA;NORDESTE;BRASIL;AMÉRICA DO SUL; -13.2621002197;-43.4081001282
SNGI;GUANAMBI;BA;NORDESTE;BRASIL;AMÉRICA DO SUL; -14.208200454711914;-42.74610137939453
CYYZ;TORONTO;;;CANADÁ;AMÉRICA DO NORTE; 43.6772003174;-79.63059997559999
LEMD;MADRID;;;ESPANHA;EUROPA; 40.471926;-3.56264
GVAC;ILHA DO SAL;;;CABO VERDE;ÁFRICA; 16.7414;-22.9494
LIMC;MILAN;;;ITÁLIA;EUROPA; 45.6306;8.72811
LIRF;ROME;;;ITÁLIA;EUROPA; 41.8002778;12.2388889
SBFZ;FORTALEZA;CE;NORDESTE;BRASIL;AMÉRICA DO SUL; -3.776279926300049;-38.53260040283203
SBMO;RIO LARGO;AL;NORDESTE;BRASIL;AMÉRICA DO SUL; -9.510809898376465;-35.79169845581055
SBNT;PARNAMIRIM;RN;NORDESTE;BRASIL;AMÉRICA DO SUL; -5.91141986847;-35.2476997375
SBPS;PORTO SEGURO;BA;NORDESTE;BRASIL;AMÉRICA DO SUL; -16.438601;-39.080898
SBCB;CABO FRIO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL; -22.921699523900003;-42.074298858599995
LFPG;PARIS;;;FRANÇA;EUROPA; 49.012798;2.55
MMMX;MEXICO;;;MÉXICO;AMÉRICA DO NORTE; 19.4363;-99.072098
SABE;BUENOS AIRES;;;ARGENTINA;AMÉRICA DO SUL; -34.5592;-58.4156
SAEZ;"EZEIZA; BUENOS AIRES PROVINCE";;;ARGENTINA;AMÉRICA DO SUL; -34.8222;-58.5358
SBFL;FLORIANÓPOLIS;SC;SUL;BRASIL;AMÉRICA DO SUL; -27.670278549194336;-48.5525016784668
SBPA;PORTO ALEGRE;RS;SUL;BRASIL;AMÉRICA DO SUL; -29.994400024414062;-51.1713981628418
SARI;"PUERTO IGUAZÚ; MISIONES PROVINCE";;;ARGENTINA;AMÉRICA DO SUL; -25.737301;-54.4734
SKBO;BOGOTÁ;;;COLÔMBIA;AMÉRICA DO SUL; 4.70159;-74.1469
KCLT;"CHARLOTTE; NORTH CAROLINA";;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE; 35.2140007019043;-80.94309997558594
SBBE;BELÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL; -1.3792500495900002;-48.4762992859
SBCG;CAMPO GRANDE;MS;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL; -20.468700408900002;-54.6725006104
SBCT;SÃO JOSÉ DOS PINHAIS;PR;SUL;BRASIL;AMÉRICA DO SUL; -25.5284996033;-49.1758003235
SBNF;NAVEGANTES;SC;SUL;BRASIL;AMÉRICA DO SUL; -26.879999;-48.651402
SBSJ;SÃO JOSÉ DOS CAMPOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL; -23.22920036315918;-45.86149978637695
SBSL;SÃO LUÍS;MA;NORDESTE;BRASIL;AMÉRICA DO SUL; -2.585360050201416;-44.234100341796875
SBVT;VITÓRIA;ES;SUDESTE;BRASIL;AMÉRICA DO SUL; -20.258057;-40.286388
SBRJ;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL; -22.910499572799996;-43.1631011963
SBCY;VÁRZEA GRANDE;MT;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL; -15.6528997421;-56.1166992188
SBJV;JOINVILLE;SC;SUL;BRASIL;AMÉRICA DO SUL; -26.22450065612793;-48.797401428222656
SBMG;MARINGÁ;PR;SUL;BRASIL;AMÉRICA DO SUL; -23.47606;-52.016187
SBRP;RIBEIRÃO PRETO;SP;SUDESTE;BRASIL;AMÉRICA DO SUL; -21.136388778686523;-47.776668548583984
SBGO;GOIÂNIA;GO;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL; -16.631999969482422;-49.220699310302734
SBPL;PETROLINA;PE;NORDESTE;BRASIL;AMÉRICA DO SUL; -9.362409591674805;-40.56909942626953
SBAR;ARACAJU;SE;NORDESTE;BRASIL;AMÉRICA DO SUL; -10.984000206;-37.0703010559
SBEG;MANAUS;AM;NORTE;BRASIL;AMÉRICA DO SUL; -3.03861;-60.049702
SBIL;ILHÉUS;BA;NORDESTE;BRASIL;AMÉRICA DO SUL; -14.815999984741;-39.033199310303
SBJP;SANTA RITA;PB;NORDESTE;BRASIL;AMÉRICA DO SUL; -7.145833015440001;-34.9486122131
SBTE;TERESINA;PI;NORDESTE;BRASIL;AMÉRICA DO SUL; -5.0599398613;-42.8235015869
SBSP;SÃO PAULO;SP;SUDESTE;BRASIL;AMÉRICA DO SUL; -23.626110076904297;-46.65638732910156
SBFI;FOZ DO IGUAÇU;PR;SUL;BRASIL;AMÉRICA DO SUL; -25.600278854370117;-54.48500061035156
SBSR;SÃO JOSÉ DO RIO PRETO;SP;SUDESTE;BRASIL;AMÉRICA DO SUL; -20.816600799599996;-49.40650177
SBDN;PRESIDENTE PRUDENTE;SP;SUDESTE;BRASIL;AMÉRICA DO SUL; -22.1751003265;-51.4245986938
SBUR;UBERABA;MG;SUDESTE;BRASIL;AMÉRICA DO SUL; -19.764722824097;-47.966110229492
SKBQ;BARRANQUILLA;;;COLÔMBIA;AMÉRICA DO SUL; 10.8896;-74.7808
LFBO;TOULOUSE;;;FRANÇA;EUROPA; 43.629101;1.36382
WSSS;CHANGI;;;SINGAPURA;ÁSIA; 1.35019;103.994003
GCRR;LANZAROTE/ILHASCANARIAS;;;ESPANHA;EUROPA; 28.945499;-13.6052
SDSC;SÃO CARLOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL; -21.875401;-47.903703
SBAU;ARAÇATUBA;SP;SUDESTE;BRASIL;AMÉRICA DO SUL; -21.1413002014;-50.4247016907
SBJU;JUAZEIRO DO NORTE;CE;NORDESTE;BRASIL;AMÉRICA DO SUL; -7.21895980835;-39.270099639899996
SBPJ;PALMAS;TO;NORTE;BRASIL;AMÉRICA DO SUL; -10.291500091600001;-48.35699844359999
SBML;MARÍLIA;SP;SUDESTE;BRASIL;AMÉRICA DO SUL; -22.1968994141;-49.926399231
SBZM;GOIANÁ;MG;SUDESTE;BRASIL;AMÉRICA DO SUL; -21.513086;-43.173069
SBCX;CAXIAS DO SUL;RS;SUL;BRASIL;AMÉRICA DO SUL; -29.197099685699996;-51.1875
GVNP;CABO VERDE;;;CABO VERDE;ÁFRICA; 14.924500465393066;-23.493499755859375
TTPP;"PORT OF SPAIN; TRINIDAD";;;TRINIDAD E TOBAGO;AMÉRICA CENTRAL; 10.595399856567383;-61.33720016479492
KTPA;"TAMPA; FLORIDA";;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE; 27.975500106811523;-82.533203125
SBCN;CALDAS NOVAS;GO;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL; -17.725299835205;-48.607498168945
EGLL;"LONDON; ENGLAND";;;REINO UNIDO;EUROPA; 51.4706;-0.461941
SLCB;COCHABAMBA;;;BOLÍVIA;AMÉRICA DO SUL; -17.421100616455078;-66.1771011352539
SLVR;SANTA CRUZ;;;BOLÍVIA;AMÉRICA DO SUL; -17.6448;-63.135399
ZBAA;BEIJING;;;CHINA;ÁSIA; 40.080101013183594;116.58499908447266
